x y
903.8390790154918 1288.0627690185643
697.1200515187559 214.75947285133788
688.8440359428369 198.99595697792392
286.0909707299777 501.8868635631081
700.2883752592511 209.09832869575595
686.8582033129799 208.2324368040904
305.00460717711167 509.25915838296794
905.3581195664287 1307.5931212011797
896.7518334066011 1311.2526967992212
903.7993749581124 1307.0121603178957
281.6708653245132 513.206952264133
901.4181367980558 1306.1414567043346
296.9720813128845 507.0414240100815
683.7391988047447 196.8363405766324
911.1325337906592 1297.0769752451713
899.9805668884686 1308.6984082255706
311.50805197273473 503.7221576765278
906.9100117195502 1302.1905427242148
302.3429096220259 508.6201765672996
685.1340494748591 201.72143726044897
905.8034350318266 1288.598505854249
286.1900644912703 493.80284459197566
692.1607947948872 208.47137428906143
690.3013060658002 196.2454647121047
696.3316729421521 179.78113421562458
293.7544615248422 497.14147769717044
302.96281713183174 500.50069021489463
700.3002454708843 195.87363210077373
904.7189301174482 1299.8823521919333
298.49132551254365 499.31410807277086
